ML_WEIGHT,Precision@3_mean,Precision@3_std,nDCG@3_mean,nDCG@3_std,EstimatedSuccessRate@3_mean,EstimatedSuccessRate@3_std,PrerequisiteCompliance@3_mean,PrerequisiteCompliance@3_std,GenerationTime_mean,GenerationTime_std,SuccessRateGainPercent_mean,SuccessRateGainPercent_std,BestFoldCount
0.0,0.833333,0.029463,0.842598,0.031473,0.560351,0.053793,0.991667,0.018634,2.406975,0.389738,0.0,0.0,0
0.05,0.833333,0.029463,0.846928,0.028286,0.579688,0.052295,0.991667,0.018634,3.197638,0.548559,3.515046,2.072082,0
0.1,0.833333,0.029463,0.846928,0.028286,0.591585,0.045534,0.991667,0.018634,3.373005,0.726359,5.7504,3.175243,0
0.15,0.833333,0.029463,0.846928,0.028286,0.607848,0.034837,0.991667,0.018634,3.074733,0.789753,8.801256,4.367915,1
0.2,0.833333,0.029463,0.846928,0.028286,0.611549,0.031521,0.991667,0.018634,2.998618,0.735173,9.511487,4.971048,0
0.25,0.833333,0.029463,0.842598,0.031473,0.614715,0.034127,0.991667,0.018634,3.105645,0.712747,10.040375,4.43369,1
0.3,0.833333,0.029463,0.842598,0.031473,0.625019,0.033327,0.975,0.037268,3.170025,0.878931,11.903976,4.775653,1
0.35,0.833333,0.029463,0.842598,0.031473,0.632943,0.02685,0.95,0.045643,3.253885,0.723502,13.415958,6.036801,0
0.4,0.833333,0.029463,0.842598,0.031473,0.641214,0.02399,0.95,0.045643,3.211512,0.926123,14.952321,6.921696,2
