ML_WEIGHT,Precision@3,nDCG@3,EstimatedSuccessRate@3,PrerequisiteCompliance@3,GenerationTime,nDCGDropPercent,SuccessRateGainPercent,SelectedBestWeight
0.0,0.833333,0.84567,0.570908,1.0,2.15925,0.0,0.0,False
0.05,0.833333,0.84567,0.615757,1.0,3.29195,0.0,7.855732,False
0.1,0.833333,0.84567,0.615757,1.0,3.18665,0.0,7.855732,False
0.15,0.833333,0.83799,0.646842,1.0,3.305838,0.908156,13.300567,False
0.2,0.833333,0.83799,0.675541,1.0,3.359837,0.908156,18.327471,False
0.25,0.833333,0.83799,0.715244,1.0,3.171263,0.908156,25.281832,False
0.3,0.833333,0.83799,0.741674,1.0,3.384888,0.908156,29.911299,False
0.35,0.833333,0.84567,0.749751,1.0,3.7467,0.0,31.326063,False
0.4,0.875,0.875,0.767325,1.0,2.851113,0.0,34.404317,True
